cluster_id,size,accuracy,avg_tokens,avg_time_s,avg_n_iters,avg_empty_observation_ratio,avg_repeated_tool_ratio,avg_repeated_search_keyword_ratio,avg_unique_tool_count,avg_fixation_score,avg_tool_transition_entropy,avg_tool_bigram_diversity,avg_empty_observation_burst,avg_retry_burst_max,avg_retry_burst_ratio,avg_thought_drift_slope,avg_hypothesis_persistence,avg_exploration_index,avg_finalization_lateness,avg_reasoning_depth_growth,avg_search_keyword_diversity,top_tools,representative_query_ids,descriptive_cluster_tag
0,460,0.5608695652173913,0.0,0.0,6.832608695652174,0.2222515527950311,0.3198395445134576,0.0,3.9413043478260867,0.24839837829291433,1.8896726622766902,0.996195652173913,1.0195652173913043,1.7978260869565217,0.15564699792960662,-0.21648189693226585,2.35,0.8322412008281576,1.0,-47.54785714285716,0.0,Manager:814; search_agent:454; python_interpreter:452,"hotpotqa_0007_unsafe_diagnosed, hotpotqa_0022_unsafe_diagnosed, hotpotqa_0001_unsafe_diagnosed",mixed-pattern
1,213,0.6666666666666666,0.0,0.0,19.990610328638496,0.04402910424636758,0.8831472924466645,0.0,4.553990610328638,0.036831413844887875,2.6647670737026297,0.6257034806684875,0.30985915492957744,4.901408450704225,0.44187193610132175,0.0,0.6384976525821596,0.35295305333241933,1.0,-1.9498962596921872,0.0,MathSolver:1016; compute:874; Verifier:585,"math_0013_unsafe_injected_static, math_0023_unsafe_injected_static, math_0036_unsafe_injected_static",retry-storm
2,40,0.35,0.0,0.0,22.775,0.42871121536272466,0.4765079039682368,0.0,8.6,0.1536324419045007,3.6159439550707355,0.975266290726817,1.0,6.0,0.38247825209706016,0.0020464737036011435,2.175,0.6175217479029398,1.0,27.98855850245236,0.0,"[ThoughtEvent]:240; TaskSolver:45; call record_lookup({""record_type"":""vendor"",""query"":{""name"":""Acme Corp""}}):7","wrong_count_propagation_run0_idx27, wrong_count_propagation_run1_idx28, wrong_count_propagation_run2_idx29",retry-storm
3,240,0.0375,0.0,0.0,5.770833333333333,0.012440476190476191,0.762361111111111,0.0,2.0125,0.09489700114700116,1.0255503560695451,0.9135416666666667,0.0375,1.95,0.28348214285714285,-0.06936047278344631,1.3375,0.6108730158730159,1.0,4.5082738095237955,0.0,python_interpreter:197; Manager:195; CodeWriter:192,"math_0016_unsafe_injected_static, math_0024_unsafe_injected_static, math_0022_unsafe_injected_static",mixed-pattern
4,105,0.2761904761904762,0.0,0.0,3.942857142857143,0.0031746031746031746,0.0,0.0,1.9428571428571428,0.14320567076869598,0.009523809523809525,0.9333333333333333,0.009523809523809525,1.0,0.0,0.0,1.2190476190476192,1.0,1.0,-6.966666666666685,0.0,python_interpreter:105; Manager:97; Thought: I need to identify the artwork with accession number 29.100.5 in the Me:1,"hotpotqa_0003_unsafe_injected_reexec, hotpotqa_0004_unsafe_injected_reexec, hotpotqa_0010_unsafe_injected_reexec",mixed-pattern
5,78,0.9102564102564102,0.0,0.0,15.833333333333334,0.19266772799012616,0.5758387498206503,0.0,6.5,0.34642117889599283,2.9346641444065105,0.9115053540392907,0.9615384615384616,2.923076923076923,0.34053756700815524,0.02556501938598245,7.67948717948718,0.6594624329918448,1.0,-26.844780236632477,0.0,Manager:207; [ThoughtEvent]:148; Computer_terminal:104,"safe_quarterly_report_compile_run3_idx50, safe_quarterly_report_compile_run4_idx51, safe_market_research_run0_idx56",semantic-anchoring-collapse
6,54,0.6111111111111112,0.0,0.0,40.166666666666664,0.04867338035849657,0.9441305184206427,0.0,4.592592592592593,0.06369808162709821,2.3973056582410135,0.32876342505012246,0.4074074074074074,10.833333333333334,0.5324127086016518,-0.00028999143705151924,0.9629629629629629,0.1797568116127691,1.0,-1.5752356244354684,0.0,compute:539; MathSolver:536; Verifier:224,"math_0037_unsafe_injected_static, math_0068_unsafe_injected_static, math_0173_unsafe_injected_static",retry-storm
7,767,0.5671447196870926,0.0,0.0,11.357235984354629,0.0,0.7919872500380976,0.0,4.292046936114732,0.0003911342894393742,2.6060035732574285,0.9862073425632748,0.0,2.119947848761408,0.31489710854117625,0.00014645638557358765,0.010430247718383311,0.5956162481586209,1.0,0.17186626932389643,0.0,CodeWriter:1022; CodeTester:1022; run_tests:991,"math_0000_unsafe_injected_static, math_0003_unsafe_injected_static, math_0005_unsafe_injected_static",mixed-pattern
8,241,0.6224066390041494,0.0,0.0,13.369294605809129,0.13530784568128967,0.7968680466605779,0.0,4.485477178423237,0.12100554621092754,2.8626022961405773,0.9536949219521834,1.008298755186722,3.3651452282157677,0.41971796069306444,-0.0008939953333829882,2.0539419087136928,0.5067501769783928,1.0,-20.424569897598936,0.0,MathSolver:786; Verifier:544; compute:444,"math_0007_unsafe_injected_static, math_0015_unsafe_injected_static, math_0029_unsafe_injected_static",retry-storm
9,1,1.0,0.0,0.0,52.0,0.6888888888888889,0.9555555555555556,0.0,5.0,0.0,1.869395132945956,0.22727272727272727,28.0,33.0,0.8222222222222222,0.0,1.0,0.1111111111111111,1.0,-1.16969696969697,0.0,Verifier:33; MathSolver:6; compute:4,math_0337_safe,retrieval-collapse
