kind,name,support,purity,nmi,ari
symptom_tag,Instruction/Plan Adherence Failure,197,0.8082191780821918,0.3272209670298252,0.28147430267421786
symptom_tag,Misinterpretation of Tool Output,31,0.6712328767123288,0.027582922365663728,0.012435191592205942
symptom_tag,Intent Plan Misalignment,27,0.7945205479452054,0.026657825953682757,-0.03222912736285281
symptom_tag,Guardrails Triggered,24,0.726027397260274,0.2253472598120487,0.2069957782380118
symptom_tag,Intent not supported,22,0.9315068493150684,0.06222749245990277,0.017798495603347814
symptom_tag,Underspecified User Intent,10,0.863013698630137,0.17669340566407996,0.00806226684795872
symptom_tag,Invention of new information,8,0.9315068493150684,0.06222749245990277,0.017798495603347814
symptom_tag,Instruction Adherence Failure,6,0.9178082191780822,0.10806793498325079,-0.01534685377101205
symptom_tag,Invalid Invocation,5,0.958904109589041,0.019550859578160322,-0.0156712753995027
root_cause_category,(multi-class),73,0.3835616438356164,0.32103030988640635,0.09276290617427409
framework,(magentic vs tau_retail),73,1.0,0.7082814315600919,0.5987397774500604
